epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,152.048,1.42489,2.40576,1.79548,0.24696,0.42934,0.14343,0.06508,2.10987,68.0585,2.95148,0.000406746,0.000406746,0.000406746
2,301.74,1.5433,1.80958,1.82677,0.00047,0.00893,0.00016,5e-05,4.40507,inf,10.2096,0.000815261,0.000815261,0.000815261
3,453.222,1.59096,1.78969,1.86934,0.05213,0.17846,0.02744,0.00806,2.95782,inf,5.30143,0.00121553,0.00121553,0.00121553
4,613.884,1.61287,1.87395,1.91361,0.11604,0.11916,0.02395,0.00656,3.31096,11.9724,4.74892,0.00121287,0.00121287,0.00121287
5,768.865,1.5547,1.76695,1.85596,0.34545,0.26428,0.12238,0.05182,2.61007,9.48382,3.28998,0.0012005,0.0012005,0.0012005
6,956.574,1.52393,1.71197,1.82497,0.51825,0.20857,0.20043,0.0944,2.53002,4.05463,3.37792,0.00118812,0.00118812,0.00118812
7,1111.57,1.51873,1.63103,1.8314,0.09345,0.08515,0.02698,0.01122,3.91669,13.7761,5.37438,0.00117575,0.00117575,0.00117575
8,1270.96,1.49634,1.63081,1.77919,0.6104,0.48318,0.568,0.31728,1.66143,2.84498,2.15521,0.00116337,0.00116337,0.00116337
9,1458.78,1.43486,1.5047,1.75597,0.44906,0.51255,0.43691,0.25149,1.53577,3.31544,2.06476,0.001151,0.001151,0.001151
10,1643.48,1.42996,1.51617,1.75065,0.64218,0.62781,0.66964,0.38484,1.45853,1.46917,2.00491,0.00113863,0.00113863,0.00113863
11,1833.62,1.38814,1.45329,1.71153,0.35954,0.45423,0.42628,0.24786,1.62313,2.88235,2.10102,0.00112625,0.00112625,0.00112625
12,2028.56,1.35525,1.41264,1.69681,0.58529,0.59085,0.58084,0.28731,1.73005,1.62089,2.25602,0.00111388,0.00111388,0.00111388
13,2232.97,1.37013,1.38969,1.6944,0.62356,0.64497,0.68436,0.36996,1.5772,2.25492,2.01436,0.0011015,0.0011015,0.0011015
14,2397.75,1.36902,1.34039,1.69606,0.69328,0.589,0.66326,0.39545,1.43924,1.4745,1.94821,0.00108913,0.00108913,0.00108913
15,2598.86,1.35041,1.3234,1.6684,0.64497,0.66085,0.69264,0.36962,1.62474,1.4097,2.11277,0.00107675,0.00107675,0.00107675
16,2758.14,1.32947,1.29035,1.6661,0.69653,0.61153,0.65281,0.39316,1.42897,1.41283,1.95231,0.00106437,0.00106437,0.00106437
17,2921.52,1.30415,1.25164,1.63511,0.72181,0.66643,0.68649,0.40334,1.43981,1.36552,1.92664,0.001052,0.001052,0.001052
18,3118.24,1.30719,1.23632,1.64368,0.73593,0.71708,0.77128,0.45559,1.38581,1.10533,1.86037,0.00103962,0.00103962,0.00103962
19,3311.88,1.30146,1.21102,1.62623,0.69386,0.72327,0.69702,0.43555,1.38016,1.30278,1.88603,0.00102725,0.00102725,0.00102725
20,3517.98,1.30489,1.23678,1.64281,0.61205,0.59788,0.59441,0.35948,1.56702,1.62618,2.1908,0.00101488,0.00101488,0.00101488
21,3675.15,1.29707,1.19299,1.62439,0.64877,0.58907,0.60248,0.3039,1.62226,1.64174,2.13,0.0010025,0.0010025,0.0010025
22,3880.3,1.26682,1.17442,1.59409,0.58043,0.74303,0.69554,0.39954,1.54029,1.28711,2.00156,0.000990125,0.000990125,0.000990125
23,4046.79,1.25367,1.14577,1.6119,0.78319,0.7081,0.80626,0.50736,1.36135,1.11834,1.83649,0.00097775,0.00097775,0.00097775
24,4244.56,1.23733,1.13568,1.59693,0.74517,0.71379,0.71831,0.4616,1.23507,1.29406,1.77276,0.000965375,0.000965375,0.000965375
25,4414.63,1.24665,1.14975,1.60591,0.76074,0.70489,0.76114,0.48834,1.31405,1.2078,1.79201,0.000953,0.000953,0.000953
26,4601.75,1.23711,1.10198,1.57318,0.81535,0.72487,0.76843,0.45794,1.44871,1.1069,1.89498,0.000940625,0.000940625,0.000940625
27,4762.23,1.21917,1.08171,1.57622,0.77732,0.74948,0.77622,0.50957,1.23201,1.14556,1.72755,0.00092825,0.00092825,0.00092825
28,4922.27,1.22786,1.08082,1.57537,0.68907,0.76336,0.75575,0.42422,1.4382,1.23616,1.90511,0.000915875,0.000915875,0.000915875
29,5121.5,1.20723,1.06284,1.55358,0.77267,0.74491,0.75196,0.45473,1.28894,1.24287,1.84542,0.0009035,0.0009035,0.0009035
30,5318.15,1.20835,1.05291,1.56699,0.84794,0.70908,0.79994,0.53379,1.24968,1.0796,1.73052,0.000891125,0.000891125,0.000891125
31,5518.73,1.19268,1.0279,1.54722,0.76804,0.73828,0.78052,0.4704,1.3582,1.20506,1.84218,0.00087875,0.00087875,0.00087875
32,5720.26,1.16608,1.00497,1.51686,0.78968,0.71933,0.8079,0.4494,1.55213,1.23157,2.04789,0.000866375,0.000866375,0.000866375
33,5881.25,1.16847,0.97801,1.51829,0.81441,0.6915,0.77746,0.50424,1.31537,1.17513,1.83007,0.000854,0.000854,0.000854
34,6075.3,1.16848,0.98117,1.52881,0.84354,0.68546,0.78672,0.46481,1.55409,1.22882,2.06261,0.000841625,0.000841625,0.000841625
35,6282.79,1.17354,0.9928,1.53665,0.82377,0.68458,0.75861,0.49294,1.31319,1.16762,1.80284,0.00082925,0.00082925,0.00082925
36,6446.88,1.13327,0.97359,1.4959,0.73927,0.77061,0.73756,0.49189,1.22653,1.22572,1.74057,0.000816875,0.000816875,0.000816875
37,6651.17,1.12712,0.95025,1.49406,0.79945,0.73876,0.77874,0.47633,1.37283,1.0911,1.91813,0.0008045,0.0008045,0.0008045
38,6833.53,1.13452,0.95302,1.5057,0.81342,0.82968,0.84847,0.50307,1.42959,0.99009,1.92596,0.000792125,0.000792125,0.000792125
39,7017.9,1.14268,0.95471,1.50416,0.74438,0.80432,0.82391,0.52669,1.25327,0.97064,1.78319,0.00077975,0.00077975,0.00077975
40,7199.93,1.14931,0.94481,1.5204,0.74008,0.74868,0.77899,0.52868,1.24052,1.06941,1.72785,0.000767375,0.000767375,0.000767375
41,7394.38,1.10938,0.90091,1.47236,0.79077,0.73887,0.80228,0.55913,1.15641,0.96245,1.70326,0.000755,0.000755,0.000755
42,7572.44,1.13347,0.92996,1.49042,0.83136,0.80317,0.85111,0.52114,1.34826,0.94485,1.84137,0.000742625,0.000742625,0.000742625
43,7765.62,1.09101,0.90539,1.46281,0.81645,0.78832,0.81254,0.48852,1.3167,0.98888,1.82846,0.00073025,0.00073025,0.00073025
44,7961.44,1.07198,0.88847,1.45477,0.80096,0.78881,0.84427,0.53832,1.26739,0.88703,1.77333,0.000717875,0.000717875,0.000717875
45,8150.71,1.08923,0.86675,1.45926,0.74088,0.77922,0.821,0.49161,1.32201,1.05558,1.81721,0.0007055,0.0007055,0.0007055
46,8336.1,1.07997,0.84214,1.44818,0.84594,0.72858,0.77929,0.51168,1.26344,1.01674,1.82629,0.000693125,0.000693125,0.000693125
47,8522.51,1.08011,0.8779,1.46083,0.85972,0.67874,0.8064,0.50779,1.32353,0.97156,1.83175,0.00068075,0.00068075,0.00068075
48,8717.04,1.06513,0.85919,1.43984,0.75727,0.78786,0.78907,0.5194,1.21519,1.00097,1.76343,0.000668375,0.000668375,0.000668375
49,8915.66,1.06936,0.83362,1.43616,0.81411,0.80971,0.85191,0.51253,1.34115,0.9722,1.83172,0.000656,0.000656,0.000656
50,9104.86,1.05892,0.85458,1.43014,0.78964,0.80193,0.80633,0.54742,1.18615,0.90711,1.7273,0.000643625,0.000643625,0.000643625
51,9302.95,1.04932,0.80781,1.41405,0.85966,0.77694,0.83236,0.54397,1.23234,0.93319,1.75393,0.00063125,0.00063125,0.00063125
52,9477.62,1.04439,0.81567,1.41906,0.76449,0.76692,0.77922,0.54615,1.16593,0.95326,1.71388,0.000618875,0.000618875,0.000618875
53,9667.28,1.02472,0.77458,1.41047,0.84757,0.78829,0.85158,0.55582,1.18499,0.8996,1.73864,0.0006065,0.0006065,0.0006065
54,9848.45,1.03905,0.81025,1.42344,0.79044,0.75887,0.8034,0.52447,1.2264,0.94444,1.76442,0.000594125,0.000594125,0.000594125
55,10012.7,1.03723,0.81442,1.43363,0.80131,0.77245,0.81006,0.52145,1.28295,0.94608,1.79324,0.00058175,0.00058175,0.00058175
56,10199.8,1.01956,0.80203,1.41054,0.83156,0.78672,0.81191,0.55356,1.1979,0.8651,1.72884,0.000569375,0.000569375,0.000569375
57,10367.9,0.99016,0.77449,1.39075,0.78632,0.81845,0.76583,0.54883,1.08147,0.93606,1.67395,0.000557,0.000557,0.000557
58,10537.7,0.97813,0.76252,1.37175,0.72922,0.72209,0.73885,0.51952,1.11623,0.98093,1.6971,0.000544625,0.000544625,0.000544625
59,10719.6,0.98724,0.74823,1.3756,0.76736,0.80072,0.81451,0.56215,1.10482,0.90256,1.64219,0.00053225,0.00053225,0.00053225
